src_tab,ID
EDW_DWH.CMS_DIC_RESPCODE,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.LD_TTNPP,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_INDUSTRY,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.INDUSTRY_GSO_TCB,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.KDR_PORTFOLIOS,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_LC_PRODUCT_TYPES_TCB,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.CMS_REFERENCEENTRY,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.KDR_DANGKY_CV_TYPE,EDW_DMT.PFS_AR_FCT_DLY
EDW_SOR_STG.T_CMS_ACCOUNT,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.KDR_CHARTOFACCOUNT,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.ECM_LIST_ATM,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.T_RE_TXN_CODE,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.T_TRANSACTION_CODE,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.KDR_FOLDERS,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.CMS_REFERENCECRD_STAT,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.CMS_REFERENCECARDSIGN,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.KDR_FLOATINGRATES,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.CMS_CONTRACTSTATEREFERENCE,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.KDR_ACCOUNTINGGROUP,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_LOAICP,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.KDR_KDBCHOICESVALUES,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_CT_CERTIFICATE_TYPE_TCB,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.T_GD_POLICY_TCB,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_RE_INDUSTRY_TCB,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_SECTOR,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.CMS_DIC_TRANCODE,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_CARD_TYPE,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.LOS_DYNAMICCOMBO,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_CUSTOMER,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.CMS_CONTRACTTYPE,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.KDR_KDBCHOICES,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.KDR_KDBFIELDST,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.KDR_RKNET_INSTRUMENT,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_CO_LOAITSDB,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_CO_PTQLTSDB,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_LIMIT_REFERENCE,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_CO_LOAITSDB_DETAIL,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH.CMS_DIC_TRANREASON,EDW_DMT.PFS_AR_FCT_DLY
EDW_DWH_STG.I$_LC_TYPES,EDW_DMT.PFS_AR_FCT_DLY
